group_id,source_plant_id,target_plant_id,model_family,support_rule,computable,reason,n_eligible_target_test,n_supported,n_supported_days,support_retention,threshold,n_support_features,transfer_mae,local_same_rows_mae,otg_abs,otg_rel,otg_rel_defined
TW_4467a039e00b,PS_047,PS_050,SplineRidge,CS4_R9,True,,841,536,21,0.6373365041617123,0.5976234183922884,6,0.17507034525649298,0.060207654026329736,0.11486269123016324,1.907775565876259,True
TW_4467a039e00b,PS_047,PS_051,SplineRidge,CS4_R9,True,,747,319,19,0.42704149933065594,0.5976234183922884,6,0.15174382122286156,0.04517715824949235,0.10656666297336921,2.3588615818828464,True
TW_4467a039e00b,PS_048,PS_042,SplineRidge,CS4_R9,True,,819,358,19,0.4371184371184371,0.38880986598928063,5,0.04458105264383853,0.06389592037073273,-0.019314867726894204,-0.30228639973924376,True
TW_4467a039e00b,PS_048,PS_043,SplineRidge,CS4_R9,True,,791,281,20,0.3552465233881163,0.38880986598928063,5,0.0600843172072948,0.0675468001825515,-0.007462482975256708,-0.11047870446991796,True
TW_4467a039e00b,PS_048,PS_044,SplineRidge,CS4_R9,True,,835,244,20,0.29221556886227545,0.38880986598928063,5,0.07925035896429679,0.08455067989985332,-0.005300320935556532,-0.06268809360060187,True
TW_4467a039e00b,PS_048,PS_045,SplineRidge,CS4_R9,True,,732,345,18,0.4713114754098361,0.38880986598928063,5,0.04177085551404165,0.04455189026219516,-0.002781034748153506,-0.06242237381594051,True
TW_4467a039e00b,PS_048,PS_046,SplineRidge,CS4_R9,True,,570,305,16,0.5350877192982456,0.38880986598928063,5,0.062148094844628576,0.06772589642528537,-0.005577801580656794,-0.08235847548817869,True
TW_4467a039e00b,PS_048,PS_047,SplineRidge,CS4_R9,True,,576,198,16,0.34375,0.38880986598928063,5,0.06513594985077559,0.10606567855932532,-0.04092972870854973,-0.3858904149249058,True
TW_4467a039e00b,PS_048,PS_049,SplineRidge,CS4_R9,True,,710,255,17,0.3591549295774648,0.38880986598928063,5,0.06739902840904247,0.07086985995974152,-0.0034708315506990495,-0.04897472003854244,True
TW_4467a039e00b,PS_048,PS_050,SplineRidge,CS4_R9,True,,841,158,20,0.187871581450654,0.38880986598928063,5,0.05233806801298135,0.05772001711510348,-0.005381949102122134,-0.09324233378846054,True
TW_4467a039e00b,PS_048,PS_051,SplineRidge,CS4_R9,True,,747,233,19,0.3119143239625167,0.38880986598928063,5,0.041898305553069996,0.04422259215315754,-0.002324286600087544,-0.05255880505687606,True
TW_4467a039e00b,PS_049,PS_042,SplineRidge,CS4_R9,True,,819,580,20,0.7081807081807082,0.6553870982781045,6,0.05160085580042417,0.06113930967410821,-0.009538453873684037,-0.15601180197367295,True
TW_4467a039e00b,PS_049,PS_043,SplineRidge,CS4_R9,True,,791,398,20,0.5031605562579013,0.6553870982781045,6,0.05945418796877476,0.07418242002323795,-0.014728232054463192,-0.19854073309888665,True
TW_4467a039e00b,PS_049,PS_044,SplineRidge,CS4_R9,True,,835,588,21,0.704191616766467,0.6553870982781045,6,0.08424368045985917,0.07788178185159668,0.006361898608262487,0.08168660830571456,True
TW_4467a039e00b,PS_049,PS_045,SplineRidge,CS4_R9,True,,732,555,20,0.7581967213114754,0.6553870982781045,6,0.051362421107464126,0.04574191644264145,0.0056205046648226745,0.12287427160754326,True
TW_4467a039e00b,PS_049,PS_046,SplineRidge,CS4_R9,True,,570,516,16,0.9052631578947369,0.6553870982781045,6,0.07177503386327241,0.06463337024086446,0.007141663622407951,0.11049499037097454,True
TW_4467a039e00b,PS_049,PS_047,SplineRidge,CS4_R9,True,,576,428,17,0.7430555555555556,0.6553870982781045,6,0.10017716451625049,0.11719340951086041,-0.017016244994609922,-0.1451979686027738,True
TW_4467a039e00b,PS_049,PS_048,SplineRidge,CS4_R9,True,,739,162,18,0.21921515561569688,0.6553870982781045,6,0.048184237804789566,0.038139716693351054,0.010044521111438512,0.2633611883433205,True
TW_4467a039e00b,PS_049,PS_050,SplineRidge,CS4_R9,True,,841,587,21,0.6979785969084423,0.6553870982781045,6,0.0669555950208127,0.06016182119754692,0.006793773823265785,0.11292500273483741,True
TW_4467a039e00b,PS_049,PS_051,SplineRidge,CS4_R9,True,,747,262,19,0.3507362784471218,0.6553870982781045,6,0.07332250933160944,0.057020734569532605,0.016301774762076837,0.28589205111340715,True
