group_id,source_plant_id,target_plant_id,model_family,support_rule,n_supported,n_supported_days,support_retention,twin_mae,local_same_rows_mae,pool_row_mae,pool_bal_mae,otg_twin,otg_pool_row,otg_pool_bal,gain_row_vs_twin,gain_bal_vs_twin,computable,selected_row_hparams,selected_bal_hparams,otg_abs
TW_4467a039e00b,PS_046,PS_050,SplineRidge,CS4,573,21,0.6813317479191439,0.062377160236859394,0.05990130935959208,0.05859500915742893,0.06457503191446062,0.002475850877267316,-0.0013063002021631506,0.004673722554868545,0.0037821510794304666,-0.002197871677601229,True,"{""alpha"": 0.1, ""n_knots"": 8}","{""alpha"": 0.1, ""n_knots"": 8}",0.002475850877267316
TW_4467a039e00b,PS_046,PS_051,SplineRidge,CS4,294,19,0.39357429718875503,0.07497651234664625,0.053349584594148895,0.06477322214521172,0.06515759651712086,0.021626927752497353,0.011423637551062828,0.011808011922971963,0.010203290201434526,0.00981891582952539,True,"{""alpha"": 0.1, ""n_knots"": 8}","{""alpha"": 0.1, ""n_knots"": 8}",0.021626927752497353
TW_4467a039e00b,PS_047,PS_042,SplineRidge,CS4,586,20,0.7155067155067155,0.18067124817377747,0.0624363902271462,0.048052522497591565,0.0563959101208469,0.11823485794663127,-0.014383867729554634,-0.006040480106299297,0.1326187256761859,0.12427533805293056,True,"{""alpha"": 0.1, ""n_knots"": 4}","{""alpha"": 0.1, ""n_knots"": 6}",0.11823485794663127
TW_4467a039e00b,PS_047,PS_043,SplineRidge,CS4,298,20,0.37673830594184576,0.14079563635036962,0.07204423706534424,0.05117149227671912,0.05319187744661863,0.06875139928502538,-0.020872744788625122,-0.01885235961872561,0.0896241440736505,0.087603758903751,True,"{""alpha"": 0.1, ""n_knots"": 8}","{""alpha"": 0.1, ""n_knots"": 6}",0.06875139928502538
TW_4467a039e00b,PS_047,PS_044,SplineRidge,CS4,571,21,0.6838323353293413,0.19683393639506486,0.07816023156582155,0.08271847540084416,0.0876831048972383,0.1186737048292433,0.00455824383502261,0.009522873331416742,0.1141154609942207,0.10915083149782656,True,"{""alpha"": 0.1, ""n_knots"": 4}","{""alpha"": 0.1, ""n_knots"": 4}",0.1186737048292433
TW_4467a039e00b,PS_047,PS_045,SplineRidge,CS4,548,20,0.7486338797814208,0.1535164961125003,0.046143716108927466,0.04146553066734401,0.04753722374957076,0.10737278000357282,-0.004678185441583459,0.0013935076406432975,0.11205096544515628,0.10597927236292953,True,"{""alpha"": 0.1, ""n_knots"": 8}","{""alpha"": 0.1, ""n_knots"": 8}",0.10737278000357282
TW_4467a039e00b,PS_047,PS_046,SplineRidge,CS4,487,16,0.8543859649122807,0.1323585665861975,0.06806038755372908,0.06379855477786912,0.06572287336341497,0.06429817903246841,-0.004261832775859953,-0.0023375141903141106,0.06856001180832837,0.06663569322278252,True,"{""alpha"": 0.1, ""n_knots"": 4}","{""alpha"": 0.1, ""n_knots"": 6}",0.06429817903246841
TW_4467a039e00b,PS_047,PS_048,SplineRidge,CS4,132,18,0.17861975642760486,0.12044299949288079,0.03497406072469024,0.039559963564555524,0.03939775305090217,0.08546893876819055,0.004585902839865284,0.004423692326211932,0.08088303592832527,0.08104524644197861,True,"{""alpha"": 0.1, ""n_knots"": 8}","{""alpha"": 0.1, ""n_knots"": 6}",0.08546893876819055
TW_4467a039e00b,PS_047,PS_049,SplineRidge,CS4,477,18,0.671830985915493,0.1726875783676748,0.06087647339897968,0.06468678711679969,0.068946801330967,0.1118111049686951,0.0038103137178200075,0.008070327931987323,0.1080007912508751,0.10374077703670778,True,"{""alpha"": 0.1, ""n_knots"": 8}","{""alpha"": 0.1, ""n_knots"": 6}",0.1118111049686951
TW_4467a039e00b,PS_047,PS_050,SplineRidge,CS4,536,21,0.6373365041617123,0.17507034525649454,0.060207654026329625,0.058184466653040036,0.0636969073337739,0.1148626912301649,-0.0020231873732895894,0.003489253307444269,0.11688587860345451,0.11137343792272064,True,"{""alpha"": 0.1, ""n_knots"": 8}","{""alpha"": 0.1, ""n_knots"": 8}",0.1148626912301649
TW_4467a039e00b,PS_047,PS_051,SplineRidge,CS4,319,19,0.42704149933065594,0.15174382122285932,0.04517715824949181,0.06353042990800918,0.06691019252784254,0.1065666629733675,0.01835327165851737,0.02173303427835073,0.08821339131485013,0.08483362869501677,True,"{""alpha"": 0.1, ""n_knots"": 8}","{""alpha"": 0.1, ""n_knots"": 8}",0.1065666629733675
TW_4467a039e00b,PS_049,PS_042,SplineRidge,CS4,580,20,0.7081807081807082,0.05160085580042708,0.06113930967403181,0.04702565927428159,0.05493425280496261,-0.009538453873604733,-0.014113650399750224,-0.006205056869069199,0.004575196526145492,-0.0033333970045355335,True,"{""alpha"": 0.1, ""n_knots"": 4}","{""alpha"": 0.1, ""n_knots"": 6}",-0.009538453873604733
TW_4467a039e00b,PS_049,PS_043,SplineRidge,CS4,398,20,0.5031605562579013,0.05945418796876676,0.0741824200232312,0.05059698564611522,0.051535314379668025,-0.014728232054464434,-0.023585434377115973,-0.02264710564356317,0.008857202322651539,0.007918873589098735,True,"{""alpha"": 0.1, ""n_knots"": 8}","{""alpha"": 0.1, ""n_knots"": 6}",-0.014728232054464434
TW_4467a039e00b,PS_049,PS_044,SplineRidge,CS4,588,21,0.704191616766467,0.08424368045986068,0.07788178185159894,0.08377555614485427,0.08872007278328768,0.006361898608261737,0.005893774293255327,0.01083829093168874,0.00046812431500641016,-0.004476392323427003,True,"{""alpha"": 0.1, ""n_knots"": 4}","{""alpha"": 0.1, ""n_knots"": 4}",0.006361898608261737
TW_4467a039e00b,PS_049,PS_045,SplineRidge,CS4,555,20,0.7581967213114754,0.05136242110747393,0.045741916442638926,0.04089262522105195,0.047321862174883794,0.005620504664835005,-0.0048492912215869766,0.0015799457322448682,0.010469795886421981,0.004040558932590137,True,"{""alpha"": 0.1, ""n_knots"": 8}","{""alpha"": 0.1, ""n_knots"": 8}",0.005620504664835005
TW_4467a039e00b,PS_049,PS_046,SplineRidge,CS4,516,16,0.9052631578947369,0.07177503386327576,0.06463337024086105,0.059234862297093904,0.06151958335604202,0.0071416636224147095,-0.005398507943767145,-0.003113786884819031,0.012540171566181854,0.01025545050723374,True,"{""alpha"": 0.1, ""n_knots"": 4}","{""alpha"": 0.1, ""n_knots"": 6}",0.0071416636224147095
TW_4467a039e00b,PS_049,PS_047,SplineRidge,CS4,428,17,0.7430555555555556,0.10017716451625297,0.11719340951086196,0.08454239955113724,0.08557594614335308,-0.017016244994608992,-0.032651009959724725,-0.03161746336750888,0.015634764965115733,0.01460121837289989,True,"{""alpha"": 0.1, ""n_knots"": 8}","{""alpha"": 0.1, ""n_knots"": 6}",-0.017016244994608992
