replicate_id,rho_abs,valid_abs,reason_abs,rho_rel,valid_rel,reason_rel
347,-0.19288076279743782,True,,-0.23801962492195508,True,
348,-0.32446474817829396,True,,-0.3862016825647048,True,
349,0.004435990885474843,True,,0.00876347551907476,True,
350,-0.16228220020498804,True,,-0.21416188993913626,True,
351,-0.19037045007678988,True,,-0.20895653790094593,True,
352,-0.24389875710763348,True,,-0.2708364783038964,True,
353,-0.4864256517067725,True,,-0.5116115749605344,True,
354,-0.11920918367346939,True,,-0.12261479591836735,True,
355,-0.22949427066618844,True,,-0.28703301681988935,True,
356,-0.1579390437560985,True,,-0.15786251363192838,True,
357,-0.21583528359935839,True,,-0.22890425727734098,True,
358,-0.37904823577480207,True,,-0.3943430699137353,True,
359,-0.31364086718500733,True,,-0.3845740482627752,True,
360,-0.27339892853391223,True,,-0.2656955775762457,True,
361,-0.3195031244465808,True,,-0.33652946087484503,True,
362,-0.20640054696539392,True,,-0.22415062585463344,True,
363,-0.2966248484398585,True,,-0.3234973894538886,True,
364,-0.17804565984800605,True,,-0.2128532009680751,True,
365,-0.3145628689709233,True,,-0.3573426744727237,True,
366,-0.20466331739729357,True,,-0.18922696702050076,True,
367,-0.29020258179636976,True,,-0.3206074933590068,True,
368,-0.021378670355260625,True,,-0.02274438394060897,True,
369,-0.12591868550642152,True,,-0.15211204869961148,True,
370,-0.20965546300197713,True,,-0.2367678993939001,True,
371,-0.20241710471551233,True,,-0.22544742643091675,True,
372,-0.20816066305387312,True,,-0.23070986359746992,True,
373,-0.12657944908290053,True,,-0.14041154427716784,True,
374,-0.27065773359268064,True,,-0.2802151622121365,True,
375,-0.1427181018268864,True,,-0.1365627178387763,True,
376,-0.15396271421728205,True,,-0.17764026160659296,True,
377,-0.3999358269160249,True,,-0.409011734506784,True,
378,-0.15093289040307284,True,,-0.19379771802833118,True,
379,-0.4331239159761033,True,,-0.44582771246868375,True,
380,-0.2551814484592523,True,,-0.2730134522133584,True,
381,-0.1447796360272329,True,,-0.21079487142423498,True,
382,-0.2395082748066847,True,,-0.24846715920261875,True,
383,-0.17455538439994397,True,,-0.19773141016664333,True,
384,-0.06768355221049223,True,,-0.12678424084455994,True,
385,-0.18764626995187883,True,,-0.20844618580556942,True,
386,-0.17264800007829398,True,,-0.2481038178099218,True,
387,-0.3224112847112404,True,,-0.32564994623315835,True,
388,-0.07650390765039077,True,,-0.08560184189351752,True,
389,-0.5785484099799347,True,,-0.552585176027078,True,
390,-0.548553147475525,True,,-0.5293098886296395,True,
391,-0.21744840245340177,True,,-0.2631586801772896,True,
392,-0.2524423282160742,True,,-0.320839246132736,True,
393,-0.2817380524016147,True,,-0.2969676811353179,True,
394,-0.31350448123955643,True,,-0.3036811990480531,True,
395,-0.26929429356058754,True,,-0.284422857031166,True,
396,-0.21852662474855458,True,,-0.2453980744657971,True,
397,-0.41002084841286046,True,,-0.4231609163403302,True,
398,-0.24335396078679,True,,-0.28774508256243486,True,
399,-0.19639085278856042,True,,-0.1780422289353494,True,
400,-0.03487459823349277,True,,-0.06666160504137879,True,
401,-0.15771174749293196,True,,-0.18341035491793645,True,
402,-0.2411987198137911,True,,-0.26070511441980493,True,
403,-0.19705476300046018,True,,-0.19329432647426203,True,
404,-0.15702895894428154,True,,-0.17370784457478006,True,
405,-0.18104863934939006,True,,-0.21199562089458868,True,
406,-0.2521254623180748,True,,-0.23147125222152842,True,
407,-0.49477819940226336,True,,-0.525504550186373,True,
408,-0.3567512850513363,True,,-0.3579870377430423,True,
409,-0.2848206101346027,True,,-0.34277857292185965,True,
410,-0.2545177157587395,True,,-0.252807954336218,True,
411,-0.45062852023749395,True,,-0.4799054598823967,True,
412,-0.6230043825324777,True,,-0.607508999843481,True,
413,-0.3281926875758101,True,,-0.33810679010817635,True,
414,-0.19555244265452634,True,,-0.19950971808790055,True,
415,-0.28826980243600875,True,,-0.2793518006997606,True,
416,-0.3451894188264261,True,,-0.3285024462744548,True,
417,-0.1615130907223257,True,,-0.18445820931542112,True,
418,-0.19277579223254707,True,,-0.24689063616869192,True,
419,-0.1952935399491959,True,,-0.2719151628469173,True,
420,-0.23379136451593988,True,,-0.25593713961806847,True,
421,-0.29446882786708994,True,,-0.3182985289839491,True,
422,-0.32832422031978764,True,,-0.35355651083210543,True,
423,-0.25522161950838096,True,,-0.29073938327713433,True,
424,-0.3560300988342498,True,,-0.3855543739573516,True,
425,-0.2627169000474164,True,,-0.3180320390855236,True,
426,-0.10717432761228382,True,,-0.10685868350101926,True,
427,-0.21791564051444431,True,,-0.25610804894257455,True,
428,-0.2571164151478513,True,,-0.27410326452017375,True,
429,-0.36243952499633486,True,,-0.38024727557054194,True,
430,-0.2913003940588057,True,,-0.318049377980959,True,
431,-0.0941054114805247,True,,-0.12131378535243399,True,
432,-0.2562500821946633,True,,-0.24799116242980576,True,
433,-0.3054586395466805,True,,-0.3218147625763987,True,
434,-0.223690081591025,True,,-0.23280532891381947,True,
435,-0.2879451181670273,True,,-0.30636206578439756,True,
436,-0.126188897966734,True,,-0.15826794715666476,True,
437,-0.21693514463167793,True,,-0.24179100784401059,True,
438,-0.20621076973901553,True,,-0.24224833640096277,True,
439,-0.3399575696108261,True,,-0.37461722007457166,True,
440,-0.19074977937071125,True,,-0.23734908656472692,True,
441,-0.24563433620871028,True,,-0.2504207868714496,True,
