target_id,twin_source_id,control_id,target_state,common_row_count,twin_otg_common_rows,control_otg_common_rows,contrast_control_minus_twin,computable,reason,orientation
PS_017,PS_020,PS_008,SP,1412,0.0002774008476112283,0.014016516198516786,0.013739115350905558,True,ok,CONTROL_MINUS_TWIN
PS_017,PS_022,PS_008,SP,1394,0.04830509332804504,0.013569058391510583,-0.03473603493653446,True,ok,CONTROL_MINUS_TWIN
PS_017,PS_023,PS_008,SP,1194,-0.002927549695056493,0.006934045024635675,0.009861594719692168,True,ok,CONTROL_MINUS_TWIN
PS_017,PS_024,PS_008,SP,573,-0.0005387396536181421,0.003006665244241133,0.003545404897859275,True,ok,CONTROL_MINUS_TWIN
PS_017,PS_026,PS_008,SP,1255,0.01205513073536349,0.013802946021744741,0.0017478152863812518,True,ok,CONTROL_MINUS_TWIN
PS_017,PS_030,PS_008,SP,1690,-0.005379018094872172,0.015668819484327356,0.02104783757919953,True,ok,CONTROL_MINUS_TWIN
PS_017,PS_004,PS_009,SP,2079,-0.00646258403427194,0.027815794181841033,0.03427837821611297,True,ok,CONTROL_MINUS_TWIN
PS_017,PS_020,PS_009,SP,1412,0.0002774008476112283,0.026818682475067017,0.02654128162745579,True,ok,CONTROL_MINUS_TWIN
PS_017,PS_022,PS_009,SP,1394,0.04830509332804504,0.026085419927227238,-0.022219673400817805,True,ok,CONTROL_MINUS_TWIN
PS_017,PS_023,PS_009,SP,1194,-0.002927549695056493,0.01609603121258904,0.019023580907645533,True,ok,CONTROL_MINUS_TWIN
PS_017,PS_024,PS_009,SP,573,-0.0005387396536181421,0.009546313464549178,0.01008505311816732,True,ok,CONTROL_MINUS_TWIN
PS_017,PS_026,PS_009,SP,1255,0.01205513073536349,0.02659500995688799,0.014539879221524499,True,ok,CONTROL_MINUS_TWIN
PS_017,PS_030,PS_009,SP,1690,-0.005379018094872172,0.029466423719940224,0.034845441814812396,True,ok,CONTROL_MINUS_TWIN
PS_017,PS_004,PS_010,SP,2079,-0.00646258403427194,0.09089939597128911,0.09736198000556105,True,ok,CONTROL_MINUS_TWIN
PS_017,PS_020,PS_010,SP,1412,0.0002774008476112283,0.08761389207432452,0.08733649122671329,True,ok,CONTROL_MINUS_TWIN
PS_017,PS_022,PS_010,SP,1394,0.04830509332804504,0.08681209328678141,0.03850699995873637,True,ok,CONTROL_MINUS_TWIN
PS_017,PS_023,PS_010,SP,1194,-0.002927549695056493,0.0705947790311886,0.07352232872624509,True,ok,CONTROL_MINUS_TWIN
PS_017,PS_024,PS_010,SP,573,-0.0005387396536181421,0.06496139469837373,0.06550013435199187,True,ok,CONTROL_MINUS_TWIN
PS_017,PS_026,PS_010,SP,1255,0.01205513073536349,0.08693906819567197,0.07488393746030848,True,ok,CONTROL_MINUS_TWIN
PS_017,PS_030,PS_010,SP,1690,-0.005379018094872172,0.0921214862545126,0.09750050434938476,True,ok,CONTROL_MINUS_TWIN
PS_017,PS_004,PS_011,SP,2079,-0.00646258403427194,0.015329288585386305,0.021791872619658245,True,ok,CONTROL_MINUS_TWIN
PS_017,PS_020,PS_011,SP,1412,0.0002774008476112283,0.012893519906795554,0.012616119059184326,True,ok,CONTROL_MINUS_TWIN
PS_017,PS_022,PS_011,SP,1394,0.04830509332804504,0.012369916979180814,-0.03593517634886423,True,ok,CONTROL_MINUS_TWIN
PS_017,PS_023,PS_011,SP,1194,-0.002927549695056493,0.005820032711419405,0.008747582406475898,True,ok,CONTROL_MINUS_TWIN
PS_017,PS_024,PS_011,SP,573,-0.0005387396536181421,0.002051957866108206,0.002590697519726348,True,ok,CONTROL_MINUS_TWIN
PS_017,PS_026,PS_011,SP,1255,0.01205513073536349,0.01220748117533968,0.0001523504399761899,True,ok,CONTROL_MINUS_TWIN
PS_017,PS_030,PS_011,SP,1690,-0.005379018094872172,0.01529955115964142,0.02067856925451359,True,ok,CONTROL_MINUS_TWIN
PS_017,PS_004,PS_013,SP,2079,-0.00646258403427194,0.01264106222954188,0.01910364626381382,True,ok,CONTROL_MINUS_TWIN
PS_017,PS_020,PS_013,SP,1412,0.0002774008476112283,0.013256508643753627,0.012979107796142399,True,ok,CONTROL_MINUS_TWIN
PS_017,PS_022,PS_013,SP,1394,0.04830509332804504,0.012795707721013017,-0.035509385607032026,True,ok,CONTROL_MINUS_TWIN
PS_017,PS_023,PS_013,SP,1194,-0.002927549695056493,0.005979266800546314,0.008906816495602807,True,ok,CONTROL_MINUS_TWIN
