group_id,source_plant_id,target_plant_id,rule_id,k,q,computable,reason,n_source_train,n_source_train_days,n_eligible_target_test,n_target_test_days,n_supported,n_supported_days,support_retention,threshold
TW_4467a039e00b,PS_050,PS_042,CS3,5,0.9,True,,2521,60,819,21,544,20,0.6642246642246642,0.5136987193950014
TW_4467a039e00b,PS_050,PS_042,CS4,5,0.95,True,,2521,60,819,21,603,20,0.7362637362637363,0.5784805275263192
TW_4467a039e00b,PS_050,PS_043,CS3,5,0.9,True,,2521,60,791,20,338,20,0.427307206068268,0.5136987193950014
TW_4467a039e00b,PS_050,PS_043,CS4,5,0.95,True,,2521,60,791,20,472,20,0.5967130214917825,0.5784805275263192
TW_4467a039e00b,PS_050,PS_044,CS3,5,0.9,True,,2521,60,835,21,535,21,0.6407185628742516,0.5136987193950014
TW_4467a039e00b,PS_050,PS_044,CS4,5,0.95,True,,2521,60,835,21,631,21,0.755688622754491,0.5784805275263192
TW_4467a039e00b,PS_050,PS_045,CS3,5,0.9,True,,2521,60,732,20,502,19,0.6857923497267759,0.5136987193950014
TW_4467a039e00b,PS_050,PS_045,CS4,5,0.95,True,,2521,60,732,20,573,20,0.7827868852459017,0.5784805275263192
TW_4467a039e00b,PS_050,PS_046,CS3,5,0.9,True,,2521,60,570,16,486,16,0.8526315789473684,0.5136987193950014
TW_4467a039e00b,PS_050,PS_046,CS4,5,0.95,True,,2521,60,570,16,536,16,0.9403508771929825,0.5784805275263192
TW_4467a039e00b,PS_050,PS_047,CS3,5,0.9,True,,2521,60,576,17,434,17,0.7534722222222222,0.5136987193950014
TW_4467a039e00b,PS_050,PS_047,CS4,5,0.95,True,,2521,60,576,17,502,17,0.8715277777777778,0.5784805275263192
TW_4467a039e00b,PS_050,PS_048,CS3,5,0.9,True,,2521,60,739,18,102,18,0.13802435723951287,0.5136987193950014
TW_4467a039e00b,PS_050,PS_048,CS4,5,0.95,True,,2521,60,739,18,156,18,0.21109607577807848,0.5784805275263192
TW_4467a039e00b,PS_050,PS_049,CS3,5,0.9,True,,2521,60,710,18,471,18,0.6633802816901408,0.5136987193950014
TW_4467a039e00b,PS_050,PS_049,CS4,5,0.95,True,,2521,60,710,18,568,18,0.8,0.5784805275263192
TW_4467a039e00b,PS_050,PS_051,CS3,5,0.9,True,,2521,60,747,19,265,19,0.35475234270414996,0.5136987193950014
TW_4467a039e00b,PS_050,PS_051,CS4,5,0.95,True,,2521,60,747,19,404,19,0.5408299866131191,0.5784805275263192
TW_4467a039e00b,PS_051,PS_042,CS3,5,0.9,True,,2239,54,819,21,122,19,0.14896214896214896,0.44593846995910896
TW_4467a039e00b,PS_051,PS_042,CS4,5,0.95,True,,2239,54,819,21,201,20,0.2454212454212454,0.5040168921534446
TW_4467a039e00b,PS_051,PS_043,CS3,5,0.9,True,,2239,54,791,20,347,20,0.438685208596713,0.44593846995910896
TW_4467a039e00b,PS_051,PS_043,CS4,5,0.95,True,,2239,54,791,20,504,20,0.6371681415929203,0.5040168921534446
TW_4467a039e00b,PS_051,PS_044,CS3,5,0.9,True,,2239,54,835,21,110,20,0.1317365269461078,0.44593846995910896
TW_4467a039e00b,PS_051,PS_044,CS4,5,0.95,True,,2239,54,835,21,179,20,0.21437125748502994,0.5040168921534446
TW_4467a039e00b,PS_051,PS_045,CS3,5,0.9,True,,2239,54,732,20,106,18,0.1448087431693989,0.44593846995910896
TW_4467a039e00b,PS_051,PS_045,CS4,5,0.95,True,,2239,54,732,20,157,18,0.21448087431693988,0.5040168921534446
TW_4467a039e00b,PS_051,PS_046,CS3,5,0.9,True,,2239,54,570,16,130,15,0.22807017543859648,0.44593846995910896
TW_4467a039e00b,PS_051,PS_046,CS4,5,0.95,True,,2239,54,570,16,185,16,0.32456140350877194,0.5040168921534446
TW_4467a039e00b,PS_051,PS_047,CS3,5,0.9,True,,2239,54,576,17,121,16,0.21006944444444445,0.44593846995910896
TW_4467a039e00b,PS_051,PS_047,CS4,5,0.95,True,,2239,54,576,17,156,16,0.2708333333333333,0.5040168921534446
TW_4467a039e00b,PS_051,PS_048,CS3,5,0.9,True,,2239,54,739,18,74,17,0.10013531799729364,0.44593846995910896
TW_4467a039e00b,PS_051,PS_048,CS4,5,0.95,True,,2239,54,739,18,83,17,0.11231393775372124,0.5040168921534446
TW_4467a039e00b,PS_051,PS_049,CS3,5,0.9,True,,2239,54,710,18,122,17,0.17183098591549295,0.44593846995910896
TW_4467a039e00b,PS_051,PS_049,CS4,5,0.95,True,,2239,54,710,18,166,17,0.23380281690140844,0.5040168921534446
TW_4467a039e00b,PS_051,PS_050,CS3,5,0.9,True,,2239,54,841,21,96,20,0.11414982164090369,0.44593846995910896
TW_4467a039e00b,PS_051,PS_050,CS4,5,0.95,True,,2239,54,841,21,133,20,0.1581450653983353,0.5040168921534446
TW_88a108921af7,PS_035,PS_039,CS3,5,0.9,True,,4883,109,1318,37,509,36,0.38619119878603947,0.472660805091244
TW_88a108921af7,PS_035,PS_039,CS4,5,0.95,True,,4883,109,1318,37,736,37,0.5584218512898331,0.5378490576046681
TW_88a108921af7,PS_039,PS_035,CS3,5,0.9,True,,3952,104,1628,44,498,43,0.3058968058968059,0.4439441520023718
TW_88a108921af7,PS_039,PS_035,CS4,5,0.95,True,,3952,104,1628,44,673,43,0.4133906633906634,0.49852846726282063
