group_id,source_plant_id,target_plant_id,model_family,analysis_role,support_rule,n_supported,n_supported_days,support_retention,transfer_mae,transfer_rmse,transfer_r2,transfer_bias,local_same_rows_mae,local_same_rows_rmse,local_same_rows_r2,local_same_rows_bias
TW_4467a039e00b,PS_046,PS_043,HistGradientBoosting,r1_frozen_input,CS4,286,20,0.3615676359039191,0.07067389433712605,0.1168111545834098,0.8743023717349129,0.031121381897158733,0.08014774390111656,0.11864893455112507,0.8703160782720502,-0.041582327891960556
TW_4467a039e00b,PS_046,PS_043,SplineRidge,primary,CS4,286,20,0.3615676359039191,0.08165932686417189,0.11909881827480792,0.8693307631415019,0.0419386298855206,0.0722420965458347,0.10657581507191995,0.8953652898713255,-0.026865643746003216
TW_4467a039e00b,PS_046,PS_044,HistGradientBoosting,r1_frozen_input,CS4,463,21,0.5544910179640719,0.07248414427543175,0.11311959372235106,0.8513147042246901,0.001757763130799097,0.08272916835811314,0.11785746828043124,0.8385988728914084,-0.04067733795722396
TW_4467a039e00b,PS_046,PS_044,SplineRidge,primary,CS4,463,21,0.5544910179640719,0.07586929096150165,0.10912420504931154,0.8616323599781117,-0.011955736182052394,0.07996509633071797,0.1103602414004101,0.8584800614376218,-0.042974635164976606
TW_4467a039e00b,PS_046,PS_045,HistGradientBoosting,r1_frozen_input,CS4,502,19,0.6857923497267759,0.0466470920017457,0.07992825285726689,0.9237561716038185,0.02275703553248131,0.03740374536643324,0.07049384622096772,0.9406929299577359,0.011038777225405258
TW_4467a039e00b,PS_046,PS_045,SplineRidge,primary,CS4,502,19,0.6857923497267759,0.043773878052221375,0.07518902691983417,0.932529646732411,0.014411620933539088,0.04318858068386409,0.07364608214227193,0.9352703361841418,0.0026971611700145745
TW_4467a039e00b,PS_046,PS_047,HistGradientBoosting,r1_frozen_input,CS4,425,17,0.7378472222222222,0.08820263437091087,0.12644429788538103,0.8400725132832733,0.04874353039270111,0.11955456546664354,0.1618551362465404,0.737953969594946,-0.09534670900914462
TW_4467a039e00b,PS_046,PS_047,SplineRidge,primary,CS4,425,17,0.7378472222222222,0.08676449833264531,0.11811485403303952,0.8604487763306022,0.03649653416176611,0.1264827844748936,0.16630191327435362,0.7233573696427272,-0.104111043944126
TW_4467a039e00b,PS_046,PS_048,HistGradientBoosting,r1_frozen_input,CS4,82,18,0.11096075778078485,0.054023301566593906,0.09977707781065884,0.7547234375575501,-0.023137746764861928,0.0526404505536333,0.10277666322043387,0.7397543271694155,-0.0028169241115831873
TW_4467a039e00b,PS_046,PS_048,SplineRidge,primary,CS4,82,18,0.11096075778078485,0.05785356947783185,0.09879850532530829,0.759510987714456,-0.014809658884503174,0.049096726477741645,0.10140949796575766,0.7466320046564368,-0.011598224941271261
TW_4467a039e00b,PS_046,PS_049,HistGradientBoosting,r1_frozen_input,CS4,484,18,0.6816901408450704,0.05853272688131372,0.11029354032096786,0.8357040607058025,0.004543882623740226,0.05689603488718599,0.1082875458023237,0.841626068797235,0.00538819824938127
TW_4467a039e00b,PS_046,PS_049,SplineRidge,primary,CS4,484,18,0.6816901408450704,0.06860948959605236,0.11257845048599303,0.8288262329247423,-0.021033522608830138,0.05839909252708346,0.10600848258103543,0.848222319747096,0.005785542128132322
TW_4467a039e00b,PS_046,PS_050,HistGradientBoosting,r1_frozen_input,CS4,573,21,0.6813317479191439,0.05811855387102015,0.10374363056493265,0.8533893024604681,0.008151867682715122,0.05824029030585644,0.10180892807111755,0.8588065646312311,0.010636832034441584
TW_4467a039e00b,PS_046,PS_050,SplineRidge,primary,CS4,573,21,0.6813317479191439,0.062377160236859394,0.10172602497922413,0.8590364188635023,-0.013478469818296769,0.05990130935959208,0.10030363415273928,0.8629509238374442,-0.006347210864560383
TW_4467a039e00b,PS_046,PS_051,HistGradientBoosting,r1_frozen_input,CS4,294,19,0.39357429718875503,0.06573137825501867,0.12403784866236842,0.8389213485050101,0.016987084535767236,0.0526911024377239,0.11527950112305886,0.8608658588168773,0.005016448729572561
TW_4467a039e00b,PS_046,PS_051,SplineRidge,primary,CS4,294,19,0.39357429718875503,0.07497651234664625,0.12747936822461994,0.8298588594268848,0.042026581286127976,0.053349584594148895,0.11265776799421243,0.8671223863136532,-0.0017906899415533982
TW_4467a039e00b,PS_047,PS_042,HistGradientBoosting,r1_frozen_input,CS4,586,20,0.7155067155067155,0.1637012303285886,0.18660482074896012,0.5540551520463348,-0.16001577620158067,0.056013931135737445,0.07820035428954747,0.9216835715019565,-0.038104706305596085
TW_4467a039e00b,PS_047,PS_042,SplineRidge,primary,CS4,586,20,0.7155067155067155,0.18067124817377747,0.20068447255880947,0.4842218081265667,-0.1775414331999968,0.0624363902271462,0.0830046093184754,0.9117652108538729,-0.0457276283544401
