group_id,source_plant_id,target_plant_id,model_family,support_rule,computable,reason,n_source_recent_half,n_target_recent_half,n_eligible_target_test,n_supported,n_supported_days,support_retention,threshold,transfer_mae,local_same_rows_mae,otg_abs
TW_4467a039e00b,PS_048,PS_044,SplineRidge,CS4,False,degenerate_iqr:wind_speed_ms,1108,1252,,,,,,,,
TW_4467a039e00b,PS_048,PS_045,SplineRidge,CS4,False,degenerate_iqr:wind_speed_ms,1108,1098,,,,,,,,
TW_4467a039e00b,PS_048,PS_046,SplineRidge,CS4,False,degenerate_iqr:wind_speed_ms,1108,855,,,,,,,,
TW_4467a039e00b,PS_048,PS_047,SplineRidge,CS4,False,degenerate_iqr:wind_speed_ms,1108,863,,,,,,,,
TW_4467a039e00b,PS_048,PS_049,SplineRidge,CS4,False,degenerate_iqr:wind_speed_ms,1108,1065,,,,,,,,
TW_4467a039e00b,PS_048,PS_050,SplineRidge,CS4,False,degenerate_iqr:wind_speed_ms,1108,1261,,,,,,,,
TW_4467a039e00b,PS_048,PS_051,SplineRidge,CS4,False,degenerate_iqr:wind_speed_ms,1108,1120,,,,,,,,
TW_4467a039e00b,PS_049,PS_042,SplineRidge,CS4,True,,1065,1228,819,547,20,0.6678876678876678,0.7347847120392266,0.05735408375101236,0.08111070316612269,-0.023756619415110335
TW_4467a039e00b,PS_049,PS_043,SplineRidge,CS4,True,,1065,1185,791,254,20,0.3211125158027813,0.7347847120392266,0.058387361225101464,0.062178903226055036,-0.0037915420009535725
TW_4467a039e00b,PS_049,PS_044,SplineRidge,CS4,True,,1065,1252,835,554,21,0.6634730538922156,0.7347847120392266,0.09137091128718969,0.07457531098285283,0.016795600304336855
TW_4467a039e00b,PS_049,PS_045,SplineRidge,CS4,True,,1065,1098,732,536,20,0.73224043715847,0.7347847120392266,0.05826743633857175,0.0479470199362791,0.01032041640229265
TW_4467a039e00b,PS_049,PS_046,SplineRidge,CS4,True,,1065,855,570,487,16,0.8543859649122807,0.7347847120392266,0.07208861554215636,0.0630076257548793,0.00908098978727706
TW_4467a039e00b,PS_049,PS_047,SplineRidge,CS4,True,,1065,863,576,433,17,0.7517361111111112,0.7347847120392266,0.10234385801964219,0.11722872460522231,-0.014884866585580123
TW_4467a039e00b,PS_049,PS_048,SplineRidge,CS4,True,,1065,1108,739,109,18,0.14749661705006767,0.7347847120392266,0.04363886555805086,0.036992613568986095,0.0066462519890647664
TW_4467a039e00b,PS_049,PS_050,SplineRidge,CS4,True,,1065,1261,841,607,21,0.7217598097502973,0.7347847120392266,0.07076170318219271,0.06196228995095918,0.008799413231233531
